"Stkcd","Trddt","AdjClose","LogRet"
600741,2000-03-23,58.652239,0.0254097058722591
678,2000-03-24,19.869317,-0.0155847055928424
868,2000-03-24,9.593484,-0.0264426655838683
600006,2000-03-24,5.35,-0.0330912546263282
600151,2000-03-24,16.099992,-0.0037197829474378
600741,2000-03-24,57.559079,-0.0188138687926598
678,2000-03-27,20.347845,0.0237983269295761
868,2000-03-27,9.871109,0.0285280898036349
600006,2000-03-27,5.5,0.0276515313305101
600151,2000-03-27,17.019992,0.0555698780139808
600741,2000-03-27,58.442016,0.0152232020111844
678,2000-03-28,21.180068,0.0400855412688772
868,2000-03-28,9.840262,-0.00312987109640162
600006,2000-03-28,5.7,0.0357180826020793
600151,2000-03-28,16.689992,-0.0195793947651755
600741,2000-03-28,60.20789,0.0297683236422666
678,2000-03-29,21.221679,0.00196270278004507
868,2000-03-29,9.603767,-0.0243269193859432
600006,2000-03-29,5.59,-0.0194868876734968
600151,2000-03-29,16.409992,-0.0169188407504262
600741,2000-03-29,59.156775,-0.0176122836775612
678,2000-03-30,21.325706,0.00488994598785952
868,2000-03-30,9.716873,0.0117084415543434
600006,2000-03-30,5.65,0.010676257991342
600151,2000-03-30,16.699992,0.0175178227864152
600741,2000-03-30,59.829488,0.0113075266133977
678,2000-03-31,20.909595,-0.0197050549821594
868,2000-03-31,9.470096,-0.0257248144721438
600006,2000-03-31,5.52,-0.0232776848693459
600151,2000-03-31,16.119992,-0.0353479995802353
600741,2000-03-31,58.610195,-0.0205899922254211
678,2000-04-03,20.805567,-0.00498754940215296
868,2000-04-03,9.243883,-0.0241770089486795
600006,2000-04-03,5.43,-0.0164387263431598
600151,2000-04-03,15.999992,-0.00747201856078705
600741,2000-04-03,60.75447,0.0359320022005845
678,2000-04-04,19.848511,-0.0470916034025586
868,2000-04-04,9.161623,-0.00893868907650619
600006,2000-04-04,5.33,-0.0185878957680909
600151,2000-04-04,15.649992,-0.0221178164357334
600741,2000-04-04,60.123801,-0.0104348733215351
678,2000-04-05,19.848511,0
868,2000-04-05,9.31586,0.0166949776031742
600006,2000-04-05,5.39,0.0111941467431527
600151,2000-04-05,15.849992,0.0126985897873784
600741,2000-04-05,61.805585,0.0275879461094686
678,2000-04-06,20.784762,0.0460911303485756
868,2000-04-06,9.449531,0.0142467866442302
600006,2000-04-06,5.47,0.014733231512984
600151,2000-04-06,16.199992,0.0218417528197548
600741,2000-04-06,63.403281,0.0255218783441862
678,2000-04-07,20.972012,0.00896866482788505
868,2000-04-07,9.706591,0.0268400286558905
600006,2000-04-07,5.7,0.0411875584066148
600151,2000-04-07,15.969992,-0.0142992871235217
600741,2000-04-07,63.024879,-0.00598605769372362
678,2000-04-10,21.325706,0.0167244126104102
868,2000-04-10,9.891674,0.0188882538918111
600006,2000-04-10,6,0.0512932943875504
600151,2000-04-10,15.999992,0.00187676095212197
600741,2000-04-10,62.520344,-0.00803754542165169
678,2000-04-11,20.951206,-0.0177169891682589
868,2000-04-11,9.53179,-0.0370608652516182
600006,2000-04-11,5.73,-0.0460439385014066
600151,2000-04-11,16.399992,0.0246926247854993
600741,2000-04-11,61.721496,-0.0128597420797743
678,2000-04-12,20.805567,-0.00697561521605339
868,2000-04-12,9.439248,-0.00975621197316157
600006,2000-04-12,6,0.0460439385014066
600151,2000-04-12,15.949992,-0.027822519361826
600741,2000-04-12,61.090827,-0.0102705417237718
678,2000-04-13,20.784762,-0.00100047305398299
868,2000-04-13,9.511225,0.00759636407149822
600006,2000-04-13,6.18,0.0295588022415445
600151,2000-04-13,16.049992,0.00625002347020365
600741,2000-04-13,61.595362,0.00822485152320507
678,2000-04-14,21.63779,0.0402212009962053
868,2000-04-14,9.542072,0.00323797261452352
600006,2000-04-14,6.04,-0.022914259522876
